geoid,year,measure,value,moe,Unnamed: 0
51760030100,2016,gini_index,0.151,,1
51710004800,2016,gini_index,0.306,,2
51760020200,2016,gini_index,0.193,,3
51770002502,2016,gini_index,0.243,,4
51710004200,2016,gini_index,0.28,,5
51760030501,2016,gini_index,0.085,,6
51760020100,2016,gini_index,0.198,,7
51710004100,2016,gini_index,0.329,,8
51730810100,2016,gini_index,0.258,,9
51700030100,2016,gini_index,0.293,,10
51740211800,2016,gini_index,0.195,,11
51710003501,2016,gini_index,0.308,,12
51003010904,2016,gini_index,0.508,,13
51013101704,2016,gini_index,0.34,,14
51013101408,2016,gini_index,0.512,,15
51760020400,2016,gini_index,0.172,,16
51740210500,2016,gini_index,0.326,,17
51059451400,2016,gini_index,0.179,,18
51760040300,2016,gini_index,0.054,,19
51013102701,2016,gini_index,0.36,,20
51760060800,2016,gini_index,0.384,,21
51590000400,2016,gini_index,0.317,,22
51730810600,2016,gini_index,0.332,,23
51059451601,2016,gini_index,0.336,,24
51730810700,2016,gini_index,0.172,,25
51760010300,2016,gini_index,0.358,,26
51510201206,2016,gini_index,0.347,,27
51013103505,2016,gini_index,0.428,,28
51700030600,2016,gini_index,0.469,,29
51013103503,2016,gini_index,0.478,,30
51760021000,2016,gini_index,0.326,,31
51710005100,2016,gini_index,0.279,,32
51650011400,2016,gini_index,0.0,,33
51087200805,2016,gini_index,0.321,,34
51013103602,2016,gini_index,0.495,,35
51700030800,2016,gini_index,0.324,,36
51760060900,2016,gini_index,0.229,,37
51590000500,2016,gini_index,0.234,,38
51013101603,2016,gini_index,0.405,,39
51760070601,2016,gini_index,0.304,,40
51700030400,2016,gini_index,0.277,,41
51105950301,2016,gini_index,0.313,,42
51740212100,2016,gini_index,0.353,,43
51059461902,2016,gini_index,0.446,,44
51800065500,2016,gini_index,0.381,,45
51710000902,2016,gini_index,0.477,,46
51760060700,2016,gini_index,0.367,,47
51710002900,2016,gini_index,0.318,,48
51800065100,2016,gini_index,0.35,,49
51710001300,2016,gini_index,0.408,,50
51710002700,2016,gini_index,0.362,,51
51680001100,2016,gini_index,0.427,,52
51680000600,2016,gini_index,0.208,,53
51710004300,2016,gini_index,0.327,,54
51041100406,2016,gini_index,0.354,,55
51590001000,2016,gini_index,0.217,,56
51710005701,2016,gini_index,0.233,,57
51041100404,2016,gini_index,0.454,,58
51770001000,2016,gini_index,0.327,,59
51510201205,2016,gini_index,0.347,,60
51595890100,2016,gini_index,0.231,,61
51550020100,2016,gini_index,0.343,,62
51013101804,2016,gini_index,0.446,,63
51710002500,2016,gini_index,0.405,,64
51620090200,2016,gini_index,0.362,,65
51510200102,2016,gini_index,0.351,,66
51121020301,2016,gini_index,0.152,,67
51770002600,2016,gini_index,0.239,,68
51013102001,2016,gini_index,0.385,,69
51510200304,2016,gini_index,0.34,,70
51760030200,2016,gini_index,0.279,,71
51680000400,2016,gini_index,0.355,,72
51510200106,2016,gini_index,0.38,,73
51013101705,2016,gini_index,0.34,,74
51510200108,2016,gini_index,0.374,,75
51810045810,2016,gini_index,0.304,,76
51013103300,2016,gini_index,0.375,,77
51710004600,2016,gini_index,0.18,,78
51770000900,2016,gini_index,0.258,,79
51520020201,2016,gini_index,0.191,,80
51810040600,2016,gini_index,0.457,,81
51700032300,2016,gini_index,0.48,,82
51059415401,2016,gini_index,0.371,,83
51700032006,2016,gini_index,0.294,,84
51710001400,2016,gini_index,0.281,,85
51710003400,2016,gini_index,0.42,,86
