geoid,year,measure,value,moe,Unnamed: 0
51760030100,2017,gini_index,0.208,,1
51710004800,2017,gini_index,0.339,,2
51760020200,2017,gini_index,0.198,,3
51770002502,2017,gini_index,0.353,,4
51710004200,2017,gini_index,0.258,,5
51760030501,2017,gini_index,0.22,,6
51760020100,2017,gini_index,0.232,,7
51710004100,2017,gini_index,0.352,,8
51730810100,2017,gini_index,0.303,,9
51700030100,2017,gini_index,0.318,,10
51740211800,2017,gini_index,0.278,,11
51710003501,2017,gini_index,0.331,,12
51003010904,2017,gini_index,0.175,,13
51013101704,2017,gini_index,0.4,,14
51013101408,2017,gini_index,0.488,,15
51760020400,2017,gini_index,0.182,,16
51740210500,2017,gini_index,0.299,,17
51059451400,2017,gini_index,0.233,,18
51760040300,2017,gini_index,0.019,,19
51013102701,2017,gini_index,0.391,,20
51760060800,2017,gini_index,0.43,,21
51590000400,2017,gini_index,0.355,,22
51730810600,2017,gini_index,0.292,,23
51059451601,2017,gini_index,0.348,,24
51730810700,2017,gini_index,0.186,,25
51760010300,2017,gini_index,0.326,,26
51510201206,2017,gini_index,0.366,,27
51013103505,2017,gini_index,0.451,,28
51700030600,2017,gini_index,0.482,,29
51013103503,2017,gini_index,0.455,,30
51760021000,2017,gini_index,0.359,,31
51710005100,2017,gini_index,0.284,,32
51650011400,2017,gini_index,0.017,,33
51087200805,2017,gini_index,0.338,,34
51013103602,2017,gini_index,0.519,,35
51700030800,2017,gini_index,0.284,,36
51760060900,2017,gini_index,0.243,,37
51590000500,2017,gini_index,0.261,,38
51013101603,2017,gini_index,0.415,,39
51760070601,2017,gini_index,0.305,,40
51700030400,2017,gini_index,0.282,,41
51105950301,2017,gini_index,0.269,,42
51740212100,2017,gini_index,0.37,,43
51059461902,2017,gini_index,0.46,,44
51800065500,2017,gini_index,0.439,,45
51710000902,2017,gini_index,0.494,,46
51760060700,2017,gini_index,0.37,,47
51710002900,2017,gini_index,0.302,,48
51800065100,2017,gini_index,0.363,,49
51710001300,2017,gini_index,0.485,,50
51710002700,2017,gini_index,0.349,,51
51680001100,2017,gini_index,0.375,,52
51680000600,2017,gini_index,0.216,,53
51710004300,2017,gini_index,0.337,,54
51041100406,2017,gini_index,0.476,,55
51590001000,2017,gini_index,0.248,,56
51710005701,2017,gini_index,0.149,,57
51041100404,2017,gini_index,0.456,,58
51770001000,2017,gini_index,0.351,,59
51510201205,2017,gini_index,0.366,,60
51595890100,2017,gini_index,0.295,,61
51550020100,2017,gini_index,0.323,,62
51013101804,2017,gini_index,0.463,,63
51710002500,2017,gini_index,0.415,,64
51620090200,2017,gini_index,0.41,,65
51510200102,2017,gini_index,0.37,,66
51121020301,2017,gini_index,0.218,,67
51770002600,2017,gini_index,0.227,,68
51013102001,2017,gini_index,0.432,,69
51510200304,2017,gini_index,0.365,,70
51760030200,2017,gini_index,0.255,,71
51680000400,2017,gini_index,0.366,,72
51510200106,2017,gini_index,0.405,,73
51013101705,2017,gini_index,0.4,,74
51510200108,2017,gini_index,0.398,,75
51810045810,2017,gini_index,0.332,,76
51013103300,2017,gini_index,0.412,,77
51710004600,2017,gini_index,0.168,,78
51770000900,2017,gini_index,0.174,,79
51520020201,2017,gini_index,0.256,,80
51810040600,2017,gini_index,0.472,,81
51700032300,2017,gini_index,0.5,,82
51059415401,2017,gini_index,0.404,,83
51700032006,2017,gini_index,0.304,,84
51710001400,2017,gini_index,0.318,,85
51710003400,2017,gini_index,0.402,,86
51730810400,2017,gini_index,0.418,,87
51680000700,2017,gini_index,0.335,,88
51760071004,2017,gini_index,0.351,,89
51710001100,2017,gini_index,0.444,,90
51013101701,2017,gini_index,0.402,,91
51710005901,2017,gini_index,0.424,,92
51059450702,2017,gini_index,0.282,,93
51680001900,2017,gini_index,0.213,,94
51710004400,2017,gini_index,0.416,,95
51710005500,2017,gini_index,0.447,,96
51059480203,2017,gini_index,0.417,,97
51177020313,2017,gini_index,0.524,,98
51710004500,2017,gini_index,0.339,,99
51510200409,2017,gini_index,0.501,,100
51730811200,2017,gini_index,0.271,,101
51670820100,2017,gini_index,0.299,,102
51013103504,2017,gini_index,0.451,,103
